sentence,label
"['Ieder', 'jaar', 'komen', 'kooplieden', 'deze', 'waar', ',', 'alsmede', 'de', 'dons', 'der', 'eenden', 'en', 'den', 'gezouten', 'en', 'gerookten', 'visch', ',', 'bij', 'deze', 'nijverige', 'bevolking', ',', 'opkoopen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Besnijdenis', ':', 'II', '158', ',', '159', '.']","[0, 0, 0, 0, 0, 0, 0]"
"['Mogelijk', 'wel', ',', 'dat', 'het', 'ooievaarsmannetje', 'aan', 'zijn', 'wijfje', 'vroeg', ':', 'Nu', ',', 'hoe', 'bevalt', 'het', 'je', 'hier', '?']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Men', 'hoorde', 'het', 'in', 'de', 'hoogste', 'en', 'laagste', 'standen', 'zingen', ',', 'en', 'zelfs', 'als', 'Napoleon', 'I', 'zijn', 'oorlogspaard', 'besteeg', 'mompelde', 'hij', ':', 'Malbroek', 'die', 'gaat', 'ten', 'oorlog', 'enz', '.', 'Papier', 'in', 'Japan', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Doch', 'geenzins', 'om', 'daar', 'door', 'uw', 'Godheid', 'te', 'verachten', ',', 'O', 'neen', '!', 'k', 'zal', 'tot', 'uw', 'eer', 'doen', 'honderd', 'Rund', 'ren', 'slagten', ',', 'En', 'tien', 'paar', 'Stieren', ',', 'in', 'de', 'Tempen', 'vet', 'geweid', ',', 'Tot', 'een', 'betuiging', 'van', 'verpligte', 'dankbaarheid', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Wie', 'is', 'myn', 'eerste', 'beginzel', '?', '.', '.', '.', '.', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Waar', 'op', 'de', 'Schryver', 'hem', 'meester', 'maakte', 'van', 'het', 'Geschrift', ',', 'met', 'verlof', 'om', 'er', 'zodanig', 'een', 'vorm', 'aan', 'te', 'geeven', ',', 'en', 'er', 'zulke', 'byhangzels', 'of', 'aanmerkingen', 'nevens', 'te', 'voegen', ',', 'als', 'hy', 'zou', 'meenen', 'dienstig', 'of', 'noodig', 'te', 'zyn', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Gy', 'schenkt', 'het', 'Manna', 'van', 'den', 'hemel', 'af', 'gevloten', 'Door', 't', 'heylich', 'woord', 'dat', 'op', 'ons', 'neder', 'wert', 'gegoten', 'Met', 'stromen', ',', 'en', 'gy', 'doet', 'door', 't', 'bidden', 'Son', ',', 'en', 'Maan', ',', 'Mee', 'aan', 'den', 'hemel', 'van', 'het', 'herte', 'stille', 'staan', ',', 'Dat', 's', 'in', 'verwond', 'ring', 'om', 'het', 'luystrend', 'oor', 'te', 'strelen', ',', 'Wanneer', 'g', 'op', 'Davids', 'toon', 'soo', 'minnelijk', 'gaat', 'quelen', 'De', 'Lofgesangen', 'van', 'het', 'groot', 'en', 'opper', 'All', ',', 'Gy', 'weydt', 'op', 'Gilead', 'U', 'vee', 'in', 't', 'Lely', 'dal', ':', 'O', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
"['Van', 'de', 'Hollanders', 'waren', ',', 'in', 't', 'geheel', ',', 'vyfhonderd', 'man', 'gesneuveldWouter', 'de', 'Fries', ',', 'Baljuw', 'van', 'de', 'Kuinder', ',', 'of', 'volgens', 'anderenWerenbold', 'uit', 'de', 'Haage', ',', 'Ridder', ',', 'en', 'Albrecht', ',', 'zyn', 'Broeder', ',', 'Wouter', 'van', 'Egmond', ',', 'Ridder', ',', 'en', 'Willem', ',', 'zyn', 'Zoon', ',', 'Dirk', 'van', 'Raaphorst', ',', 'Ridder', ',', 'en', 'Gerard', ',', 'zyn', 'Broeder', ',', 'Jakob', 'van', 'Wassenaar', ',', 'Ridder', ',', 'Bernard', 'uit', 'den', 'Enge', ',', 'Ridder', ',', 'Gerard', 'van', 'Hermelen', ',', 'Ridder', ',', 'Gerard', 'Ever', 'en', 'veele', 'anderen', 'Sedert', 'voerde', 'Graaf', 'Floris', ',', 'van', 'tyd', 'tot', 'tyd', ',', 'kryg', 'tegen', 'de', 'Westfriezen', ',', 'nu', 'met', 'voordeel', 'dan', 'met', 'schade', ':', 'van', 'al', 't', 'welke', ',', 'onze', 'Historieschryvers', 'verzuimd', 'hebben', ',', 'de', 'omstandigheden', 'behoorlyk', 'aan', 'te', 'tekenenAkersloot', 'en', 'Uitgeest', ',', 'het', 'Schot', ',', 'welk', 'zy', 'jaarlyks', 'gewoon', 'waren', 'te', 'betaalen', ',', 'voor', 'den', 'tyd', 'van', 'drie', 'jaaren', ',', 'kwyt', ',', 'op', 'dat', 'zy', 'zig', ',', 'te', 'williger', 'en', 'te', 'dapperer', ',', 'tegen', 'de', 'Friezen', 'stellen', 'zoudenWormer', 'werden', ',', 'omtrent', 'vier', 'jaaren', 'laater', ',', 'van', 'alle', 'Graaflyke', 'Beden', 'en', 'Tollen', 'vry', 'verklaard', ',', 'om', 'dat', 'zy', ',', 'in', 'zeker', 'gevegt', ',', 'eenige', 'Friezen', 'gevangen', 'en', 'den', 'Graave', 'overgeleverd', 'haddenaart', 'wasHertoge', 'Jan', 'van', 'Brabant', ',', 'Ridder', 'hadt', 'doen', 'slaanJan', 'van', 'Avennes', ',', 'als', 'Graaf', 'regeerde', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Op', 'eenmaal', 'verhief', 'zich', 'het', 'vliegend', 'sneeuwvlokje', 'poëtisch', 'gezegd', 'hooger', ',', 'en', 'fladderde', 'op', 'de', 'vensterbank', ',', 'klapwiekte', 'daar', 'regt', 'vertrouwelijk', ',', 'en', 'na', 'weinige', 'oogenblikken', 'vloog', 'het', 'lieve', ',', 'onschuldige', 'diertje', 'vlak', 'voor', 'mij', ',', 'naast', 'den', 'inktkoker', ',', 'en', 'bleef', 'zeer', 'rustig', 'zitten', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['herman', 'pyls', 'van', '2', 'lampen', 'ende', 'van', 'een', 'olykan', 'ende', 'oeck', 'van', 'peeren', 'ende', 'witbroet', 'dat', 'in', 'die', 'gerwecamer', 'gebesicht', 'wort', 'doe', 'men', 'dat', 'heilichdom', 'toende', 'te', 'samen', '8', 'cr', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['f', '2', '14', ':', 'De', 'geschiedenis', 'van', 's', 'Heilands', 'lijden', 'moest', 'wel', 'de', 'meest', 'gekende', 'bij', 'ieder', 'Christen', 'zijn', ',', 'daar', 'dezelve', 'jaarlijks', 'voor', 'iedere', 'gemeente', 'behandeld', 'wordt', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Een', 'verzoek', 'van', 'zijn', 'vader', ',', 'was', 'voor', 'den', 'goeden', 'ferdinand', 'zoo', 'veel', 'als', 'een', 'bevel', ';', 'hij', 'ging', 'dan', ',', 'doch', 'vond', 'de', 'juffer', 'en', 'hare', 'tante', 'niet', 'te', 'huis', ',', 'en', 'keerde', 'denzelfden', 'dag', 'terug', ',', 'verheugd', ',', 'dat', 'zoo', 'als', 'hij', 'in', 'zijn', 'binnenste', 'dit', 'noemde', 'het', 'geluk', 'hem', 'gediend', 'had', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['ZIet', 'Joseph', ',', 'Rachels', 'zoon', ',', 'en', 'Jakobs', 'staf', 'en', 'stut', ',', 'Hier', 'slaepen', 'in', 'de', 'hey', ',', 'by', 'dien', 'bemoschten', 'put', ';', 'Waer', 'langs', 'de', 'heirbaen', 'loopt', 'naer', 'Dothan', ',', 'en', 'die', 'weien', ',', 'Daer', 'hy', 'zijn', 'broeders', 'zoeckt', ':', 'terwijl', 'wy', 'hemelreien', ',', 'Door', 'last', 'des', 'hemelvooghts', ',', 'hem', 'naerstigh', 'gade', 'slaen', ',', 'Die', 'zich', ',', 'te', 'nacht', 'heel', 'spa', ',', 'toen', 'd', 'ondergaende', 'maen', 'In', 't', 'gras', 'viel', ',', 'hier', ',', 'vermoeit', 'van', 'reizen', ',', 'neêr', 'ging', 'leggen', ',', 'In', 'woest', 'en', 'eenzaem', 'veldt', ',', 'begroeit', 'met', 'ruighte', 'en', 'heggen', ';', 'Als', 'of', 'hy', 'd', 'Engelen', 'en', 'Godt', ',', 'die', 'overal', 'Met', 'zoo', 'veel', 'starren', 'waeckt', ',', 'alleen', 'de', 'wacht', 'beval', ',', 'En', 'onbekommert', 'was', 'voor', 'onraet', ',', 'en', 'voor', 'dieren', ',', 'Die', 'in', 'dees', 'wildernis', ',', 'van', 'dorst', 'of', 'honger', 'tieren', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Aan', 'hunne', 'bestemming', 'beantwoorden', 'ze', ',', 'en', 'is', 'het', 'den', 'visch', 'te', 'wijten', ',', 'dat', 'deze', 'niet', 'vliegen', ',', 'den', 'vogel', ',', 'dat', 'hij', 'niet', 'zwemmen', 'kan', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['Te', 'vergeefsch', 'hebben', 'wij', 'allen', 'ons', 'met', 'de', 'hoop', 'gevleid', ',', 'dat', 'zij', 'beter', 'wierd', ';', 'dat', 'de', 'tijd', ',', 'en', 'zorgvuldige', 'oppassing', 'van', 'onze', 'zijde', 'haar', 'geheel', 'herstellen', 'zouden', ':', 'ik', 'lag', 'zelfs', 'wat', 'overhoop', 'met', 'onzen', 'Doctor', ',', 'om', 'dat', 'die', 'ook', ',', 'toen', 'ik', 'mij', 'alles', 'goeds', 'beloofde', ',', 'mij', 'nooit', 'konde', 'belooven', ',', 'dat', 'zijne', 'beminnelijke', 'zieke', 'weldra', 'zo', 'gezond', 'zijn', 'zoude', ',', 'dat', 'hij', 'niet', 'dan', 'als', 'vriend', 'van', 'ons', 'huis', ',', 'bij', 'ons', 'konde', 'komen', 'hij', 'zeide', 'zelfs', 'aan', 'mijne', 'Moeder', 'dat', 'hij', 'vreesde', 'voor', 'het', 'leven', 'haarer', 'lieve', 'Nicht', 'mij', 'dacht', ',', 'ik', 'had', 'eenige', 'dagen', 'de', 'ondervinding', 'vóór', 'mij', ';', 'en', 'zij', 'is', 'tog', 'de', 'beste', 'leermeestresse', 'keetje', 'scheen', 'mij', 'iet', 'beter', ',', 'en', 'hoewel', 'zij', 'noch', 'at', 'noch', 'sliep', ',', 'zo', 'als', 'ik', 'wel', 'wenschte', ',', 'hoopte', 'ik', 'tog', 'dat', 'haare', 'jeugd', ',', 'en', 'de', 'tedere', 'zorgvuldigheid', 'van', 'ons', 'allen', ',', 'niemand', 'uitgezonderd', ',', 'haar', 'aan', 'onze', 'vuurigste', 'wenschen', 'zouden', 'wedergeeven', 'zij', 'was', 'zo', 'gehoorzaam', 'aan', 'alles', 'wat', 'mijne', 'Moeder', ',', 'en', 'de', 'Doctor', 'haar', 'raadde', 'zij', 'poogde', ',', 'zo', 'van', 'harten', 'het', 'haare', 'tot', 'haare', 'herstelling', 'toetebrengen', 'zij', 'begon', 'zelfs', 'weder', 'aan', 'het', 'leven', 'gehecht', 'te', 'worden', 'zij', 'zag', ',', 'zij', 'erkende', 'dat', 'zij', 'ons', 'allen', ',', 'niet', 'alleen', 'aangenaam', 'maar', 'dierbaar', 'was', ';', 'en', 'haare', 'liefde', 'voor', 'mijne', 'Moeder', '.', '.', '.', '.', 'waarlijk', ',', 'naatje', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['t', 'Was', 'weinig', ';', 'maar', 'hij', 'had', 'ook', 'geene', 'prachtige', 'vertrekken', 'en', 'gasthofdisch', 'noodig', ',', 'gelijk', 'er', 'Emiel', 'en', 'Bruno', 'betalen', 'konden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['DE', 'Meerkatten', 'zijn', 'van', 'een', 'sonderlinge', 'snedigen', 'aert', 'en', 'verstant', ',', 'ende', 'om', 'haer', 'potsemaeckery', 'bemint', ',', 'sy', 'zijn', 'snedigh', 'in', 'alle', 'loosheyt', ',', 'somtijts', 'een', 'mensch', 'alleen', 'siende', ',', 'komen', 'sy', 'af', 'om', 'met', 'hem', 'te', 'speelen', ':', 'breecken', 'de', 'tacken', 'van', 'de', 'bomen', ',', 'en', 'werpense', 'de', 'Voor', 'by', 'reysende', 'naer', 'het', 'hooft', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Deze', 'Bakker', 'knijpt', 'de', 'bollen', ';', 'Maar', 'hij', 'knijpt', 'ze', 'niet', 'te', 'ligt', ';', 'Neen', ',', 'ô', 'neen', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Het', 'was', 'eene', 'heerlijke', 'groene', 'vlakte', ',', 'met', 'drie', 'breedgetakte', 'eikenboomen', 'in', 'het', 'midden', 'en', 'een', 'effen', 'grasveld', 'om', 'crocket', 'op', 'te', 'spelen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
"['De', 'eerste', ',', 'ik', 'spreek', 'van', 'eene', 'zyde', 'de', 'lichaams', 'der', 'Lendenen', 'spier', ',', 'in', 'de', 'tweeënvyftigste', 'Aftekening', 'met', 'de', 'letter', 'K', '.', 'in', 'zyn', 'plaats', 'en', 'L', '.', 'eenigzints', 'gescheiden', ',', 'afgebeeld', ',', 'zoo', 'aan', 'de', 'bekleedzelen', 'der', 'benedenste', 'wervelbeenderen', 'van', 'de', 'Borst', ',', 'als', 'bovenste', 'der', 'Lendenen', ',', 'verbonden', ',', 'zet', 'zich', 'aan', 'het', 'voorste', 'en', 'bovenste', 'gedeelte', 'van', 'den', 'kleenen', 'Draaijer', ',', 'of', 'uitstek', 'des', 'Dyegebeentens', ',', 'vast', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Zijn', 'compagnon', 'was', 'oud', 'en', 'suf', '.', '.', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Armoede', 'en', 'Weldadigheid', ',', 'door', 'Mevrouw', 'Elise', 'van', 'Calcar', ',', 'geb', '.', 'Schiolling', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Ik', 'weet', 'dan', ',', 'schrei', 'ik', 'nu', ':', 'Gy', 'zult', 'eens', 'met', 'meêdoogen', 'Mijn', 'zilte', 'traanen', 'droogen', ',', 'En', 'storten', 'uwen', 'zegen', 'Met', 'volle', 'stroomen', 'uit', ',', 'Gelijk', 'een', 'milden', 'regen', 'Op', 't', 'schier', 'verwelkert', 'kruid', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
